Timestamp,Phys_Label,AI_Label,AI_Conf,Final_Result,Neck_Change,Nose_Drop
13:49:05.070,Good,hunch,0.84,Good,0.95,0.03
13:49:08.116,Good,hunch,0.83,Good,1.00,0.00
15:49:58.327,Good,hunch,0.82,Good,0.93,0.04
15:50:01.410,Good,hunch,0.82,Good,0.94,-0.01
15:50:04.170,Good,hunch,0.80,Bad,0.91,0.11
15:50:06.955,Good,hunch,0.80,Bad,0.96,0.04
15:50:10.564,Hunch(Neck),hunch,0.79,Bad,0.70,0.13
09:05:23.085,Good,good,0.46,Good,1.02,-0.02
09:05:24.938,Good,good,0.89,Good,0.86,0.03
09:05:26.830,Hunch(Neck),hunch,0.42,Bad,0.78,-0.14
09:05:28.612,Good,good,0.87,Good,0.90,0.03
09:05:30.404,Good,good,0.89,Good,0.93,0.02
09:05:32.210,Lean(Nose),hunch,0.61,Bad,0.47,0.33
09:05:33.986,Lean(Nose),lean,0.79,Bad,0.26,0.37
09:05:35.877,Lean(Nose),lean,0.86,Bad,0.24,0.38
09:05:37.671,Good,good,0.69,Good,1.02,-0.12
09:05:39.454,Good,hunch,0.94,Good,0.84,-0.01
09:05:41.374,Hunch(Neck),hunch,0.93,Bad,0.75,0.03
09:05:43.160,Hunch(Neck),hunch,0.93,Bad,0.75,-0.01
09:05:44.928,Good,good,0.82,Good,1.02,-0.21
09:05:46.791,Hunch(Neck),hunch,0.77,Bad,0.57,0.05
09:05:48.578,Hunch(Neck),hunch,0.85,Bad,0.55,0.06
09:05:50.357,Hunch(Neck),hunch,0.87,Bad,0.53,0.06
09:05:52.250,Hunch(Neck),hunch,0.83,Bad,0.51,0.06
09:05:54.023,Good,good,0.90,Good,0.98,-0.11
09:05:55.784,Good,good,0.81,Good,0.97,-0.09
09:05:57.653,Good,hunch,0.86,Good,0.86,0.05
09:05:59.485,Good,good,0.85,Good,1.02,-0.17
09:06:01.276,Good,hunch,0.94,Good,0.82,0.02
09:06:03.104,Hunch(Neck),hunch,0.95,Bad,0.78,0.07
09:06:04.886,Good,good,0.57,Good,0.99,-0.19
09:06:06.741,Good,good,0.91,Good,0.94,0.09
09:06:08.525,Good,hunch,0.96,Good,0.81,0.03
09:06:10.302,Hunch(Neck),hunch,0.95,Bad,0.79,0.05
09:06:12.160,Hunch(Neck),hunch,0.97,Bad,0.79,0.08
09:06:13.956,Good,hunch,0.94,Good,0.81,0.03
09:06:15.748,Hunch(Neck),hunch,0.94,Bad,0.78,0.07
09:06:17.632,Hunch(Neck),hunch,0.95,Bad,0.76,0.05
09:06:19.447,Hunch(Neck),hunch,0.95,Bad,0.75,0.09
09:06:21.225,Good,hunch,0.45,Good,0.99,0.00
09:06:23.131,Lean(Nose),hunch,0.47,Bad,0.75,0.18
09:06:25.178,Lean(Nose),hunch,0.92,Bad,0.64,0.17
