label,person_id,nose_y,nose_x,nose_conf,left_eye_y,left_eye_x,left_eye_conf,right_eye_y,right_eye_x,right_eye_conf,left_ear_y,left_ear_x,left_ear_conf,right_ear_y,right_ear_x,right_ear_conf,left_shoulder_y,left_shoulder_x,left_shoulder_conf,right_shoulder_y,right_shoulder_x,right_shoulder_conf,left_elbow_y,left_elbow_x,left_elbow_conf,right_elbow_y,right_elbow_x,right_elbow_conf,left_wrist_y,left_wrist_x,left_wrist_conf,right_wrist_y,right_wrist_x,right_wrist_conf,left_hip_y,left_hip_x,left_hip_conf,right_hip_y,right_hip_x,right_hip_conf,left_knee_y,left_knee_x,left_knee_conf,right_knee_y,right_knee_x,right_knee_conf,left_ankle_y,left_ankle_x,left_ankle_conf,right_ankle_y,right_ankle_x,right_ankle_conf
good,1,0.3349597,0.7288345,0.47596914,0.2528553,0.7520257,0.46831366,0.23723717,0.64186656,0.5082491,0.2690436,0.75931966,0.30150723,0.28352958,0.4903281,0.528536,0.8031406,0.8289571,0.63917327,0.7740439,0.22945412,0.70714146,0.12876086,0.92700684,0.06021497,0.99191993,0.11702048,0.0565852,0.22988275,0.7956509,0.007442079,0.518451,0.72276086,0.0066424473,1.0082207,0.60416514,0.06509978,0.84841865,0.21152778,0.009086832,1.0532955,0.75194013,0.042714756,1.0156232,0.47049242,0.08270352,1.0204053,0.7619863,0.016161144,0.99819213,0.3761546,0.02276544
good,1,0.33423302,0.7205064,0.5031085,0.26507238,0.74532425,0.43984267,0.25023898,0.6369558,0.46434802,0.2789485,0.75814974,0.23775053,0.3014628,0.48684704,0.5463855,0.80740166,0.83136046,0.63417244,0.77979773,0.22644766,0.714985,0.43469197,0.9459184,0.02931831,0.989937,0.10248808,0.059378546,0.40761888,0.95854026,0.03568777,0.52932554,0.70374924,0.0061258296,1.0078747,0.60337883,0.06801495,0.86176187,0.21125607,0.012386869,1.0529019,0.75310916,0.04779082,1.0135288,0.4693907,0.10797853,0.9036968,0.888036,0.018749155,0.9938494,0.37607732,0.026554141
good,1,0.33423302,0.7205064,0.5031085,0.26507238,0.74532425,0.43984267,0.25023898,0.6369558,0.46434802,0.2789485,0.75814974,0.23775053,0.3014628,0.48684704,0.5463855,0.80740166,0.83136046,0.63417244,0.77979773,0.22644766,0.714985,0.43469197,0.9459184,0.02931831,0.989937,0.10248808,0.059378546,0.40761888,0.95854026,0.03568777,0.52932554,0.70374924,0.0061258296,1.0078747,0.60337883,0.06801495,0.86176187,0.21125607,0.012386869,1.0529019,0.75310916,0.04779082,1.0135288,0.4693907,0.10797853,0.9036968,0.888036,0.018749155,0.9938494,0.37607732,0.026554141
good,1,0.3447253,0.728345,0.4413614,0.2684274,0.7466465,0.46442035,0.25063127,0.6404618,0.49082202,0.27500406,0.7556961,0.27070868,0.30063266,0.49058962,0.5520356,0.8084541,0.8302262,0.6134659,0.783769,0.22955534,0.6911136,0.12504251,0.92850536,0.05169512,0.9897723,0.10466739,0.054275405,0.12592357,0.9369676,0.028278891,0.42407423,0.70429754,0.018164208,1.0086004,0.56479335,0.069636725,0.8485098,0.21119514,0.012355154,1.0509847,0.75347614,0.047112998,1.0140839,0.49215576,0.08657721,1.019772,0.78624153,0.016638765,0.9985415,0.35707015,0.023606332
good,1,0.35997215,0.73325294,0.5904763,0.27473912,0.74997437,0.5165206,0.26068595,0.64603865,0.4847081,0.27581307,0.75849295,0.25977713,0.3044612,0.48840708,0.533666,0.8086822,0.82954866,0.6164764,0.7839241,0.22753583,0.691243,0.12803149,0.92769635,0.06327608,0.9878329,0.10244262,0.05521374,0.44616842,0.9647988,0.034474026,0.9834997,0.39578128,0.06714543,1.0070994,0.5831937,0.080750264,0.86007655,0.20654108,0.0119979745,1.0533586,0.7518513,0.043148663,1.0124711,0.46950978,0.11606152,0.8789835,0.88666886,0.020088378,0.9913003,0.399232,0.028416524
good,1,0.35997215,0.73325294,0.5904763,0.27473912,0.74997437,0.5165206,0.26068595,0.64603865,0.4847081,0.27581307,0.75849295,0.25977713,0.3044612,0.48840708,0.533666,0.8086822,0.82954866,0.6164764,0.7839241,0.22753583,0.691243,0.12803149,0.92769635,0.06327608,0.9878329,0.10244262,0.05521374,0.44616842,0.9647988,0.034474026,0.9834997,0.39578128,0.06714543,1.0070994,0.5831937,0.080750264,0.86007655,0.20654108,0.0119979745,1.0533586,0.7518513,0.043148663,1.0124711,0.46950978,0.11606152,0.8789835,0.88666886,0.020088378,0.9913003,0.399232,0.028416524
good,1,0.35991502,0.7305645,0.57553023,0.26946697,0.7504604,0.4653669,0.26069698,0.64088565,0.6269342,0.27365583,0.7609916,0.28254855,0.30251595,0.48893052,0.56885386,0.8073847,0.83070695,0.6191621,0.78513795,0.23155542,0.6766919,0.43564525,0.942674,0.031062355,0.99032754,0.104527004,0.06252147,0.44323516,0.9643147,0.034739677,0.54031456,0.57104075,0.024333056,1.0083059,0.58352727,0.07210173,0.8490149,0.2023023,0.011568277,1.0589428,0.7331133,0.051330827,1.0113356,0.46957582,0.11945681,0.8530736,0.88392425,0.019508483,0.99395424,0.39530638,0.025588537
good,1,0.35476828,0.72814876,0.53053194,0.2669489,0.7469399,0.4631381,0.2581057,0.63700104,0.58714104,0.27505127,0.7614912,0.25954673,0.30635035,0.4875731,0.51588607,0.8027359,0.82739514,0.6416321,0.7837874,0.23206472,0.67488796,0.12064142,0.9277451,0.07412973,0.993336,0.12696077,0.059261948,0.08710874,0.93881243,0.04651174,0.5362949,0.7195313,0.005939301,1.0080587,0.58414537,0.07265237,0.8495022,0.21072155,0.01159203,1.0572995,0.73142046,0.049506303,1.0132279,0.4487604,0.103607036,0.85596967,0.8835986,0.019121852,0.9925819,0.39473614,0.027827766
good,1,0.35649407,0.7302107,0.5543386,0.26890498,0.74686295,0.47175553,0.25972095,0.6426757,0.5008819,0.27508536,0.75666445,0.2717749,0.31421036,0.48940754,0.57706946,0.8047442,0.82917166,0.63643634,0.7810993,0.2313175,0.6958061,0.12207859,0.92236483,0.073327534,0.9940189,0.12606572,0.061260067,0.0855928,0.93523324,0.042083174,0.53770596,0.718569,0.0056766924,1.0088257,0.5637156,0.078455545,1.0110159,0.26647604,0.0382686,1.0551535,0.7324804,0.050503097,1.0121641,0.4492113,0.11591763,0.87826765,0.88610333,0.018665995,0.9958059,0.3954955,0.026640072
good,1,0.35636917,0.7314239,0.55812144,0.2707129,0.7465882,0.49417636,0.2610426,0.6454583,0.5414338,0.27749795,0.75225747,0.22024938,0.31593505,0.49014968,0.60897624,0.80492437,0.82968867,0.6161102,0.7804965,0.22984159,0.6881937,0.12414543,0.9233838,0.06972681,0.9901145,0.10487292,0.061052952,0.08798534,0.93642706,0.0385286,0.5370156,0.7208542,0.005515867,1.0081296,0.56352395,0.08209934,0.87398183,0.20429957,0.013747989,1.052343,0.7523839,0.042023912,1.0127966,0.47119892,0.10965565,0.85266656,0.88421154,0.019425686,0.99356383,0.37268817,0.02527711
good,1,0.35636917,0.7314239,0.55812144,0.2707129,0.7465882,0.49417636,0.2610426,0.6454583,0.5414338,0.27749795,0.75225747,0.22024938,0.31593505,0.49014968,0.60897624,0.80492437,0.82968867,0.6161102,0.7804965,0.22984159,0.6881937,0.12414543,0.9233838,0.06972681,0.9901145,0.10487292,0.061052952,0.08798534,0.93642706,0.0385286,0.5370156,0.7208542,0.005515867,1.0081296,0.56352395,0.08209934,0.87398183,0.20429957,0.013747989,1.052343,0.7523839,0.042023912,1.0127966,0.47119892,0.10965565,0.85266656,0.88421154,0.019425686,0.99356383,0.37268817,0.02527711
good,1,0.35680872,0.731115,0.5601629,0.2706194,0.7488741,0.4668255,0.26039094,0.6466054,0.5513836,0.27676114,0.75679076,0.25295034,0.31508052,0.49082354,0.59383726,0.8065417,0.8262073,0.6236161,0.7826091,0.23052673,0.6755692,0.12343201,0.9215297,0.07007765,0.989864,0.105741486,0.059778392,0.07326167,0.9385349,0.04263862,0.5391576,0.72049266,0.0054426733,1.0086513,0.54409134,0.08018084,0.8740523,0.2047612,0.013412396,1.0562401,0.7328366,0.04366879,1.0131787,0.47088572,0.11787145,1.0193582,0.7623292,0.01527313,0.9913827,0.3971715,0.02748776
good,1,0.3577147,0.73112816,0.576928,0.26908118,0.7487138,0.488014,0.2595407,0.64272296,0.51140153,0.27602,0.76020306,0.25825074,0.31423947,0.4893739,0.5823016,0.8054703,0.8277846,0.6330005,0.7823961,0.22715987,0.68631744,0.43532676,0.94286454,0.03232806,0.9884224,0.103813566,0.05543667,0.44564438,0.9643846,0.03565948,0.5412051,0.5692978,0.023854217,1.0080464,0.56396633,0.07588506,0.87509686,0.20567484,0.012919513,1.0539556,0.75188303,0.044902124,1.0101149,0.47021717,0.11476079,0.8779004,0.8860258,0.01813952,0.9961536,0.37630066,0.025020247
good,1,0.35884792,0.7349817,0.5680374,0.2748513,0.7510442,0.4524923,0.26155433,0.64711285,0.56439114,0.27477148,0.7600361,0.26810983,0.31622842,0.49087784,0.5868878,0.8086506,0.8302184,0.6213994,0.78465647,0.22770469,0.6790589,0.124365546,0.9228093,0.07417768,0.98866534,0.10357717,0.056527175,0.44712073,0.96276766,0.033140227,0.46876395,0.9855156,0.029528635,1.0086057,0.5639318,0.07642628,0.85877246,0.20703039,0.012930492,1.0529379,0.7521215,0.04814776,1.0117279,0.4703322,0.112418145,0.87695765,0.8853666,0.01835739,0.9909401,0.39539573,0.026803646
good,1,0.35667253,0.7297941,0.5791109,0.27084574,0.74822515,0.4328906,0.2607331,0.6457869,0.5514329,0.2716236,0.75654626,0.27031788,0.30387124,0.48851126,0.54047465,0.8092137,0.8281047,0.61710596,0.7855716,0.2263326,0.6755396,0.12102436,0.9248402,0.06401738,0.9886799,0.105508454,0.053907532,0.4068128,0.95984346,0.0252161,0.55373865,0.73621106,0.0043453625,1.0079316,0.5837362,0.070987165,0.87415427,0.20836245,0.012277386,1.0567243,0.73300225,0.05132886,1.0119176,0.47093084,0.10171372,0.8771517,0.8864808,0.018817393,0.9920052,0.39545465,0.025017465
